Empresas, Ftype, Investors
Bom Consórcio, Seed, Bozano Investimentos
Escale, Series C, Kaszek Ventures
Escale, Series C, Redpoint eventures
Carenet Longevity, Series A, Inseed Investimentos
The Not Company, Series A, Kaszek Ventures
Fondeadora, Seed, IGNIA
Destácame, Series A, Mountain Nazca
Nuweba, Seed, Magma Partners
Rapyd, Series B, IGNIA
Adianta, Venture - Series Unknown, DGF Investimentos
Agilis, Series A, Kaszek Ventures
Agilis, Series A, Investo
Crehana, Series A, Mountain Nazca
Crehana, Series A, DILA Capital
WEEL, Series B, Monashees
VarejOnline, Series A, Inseed Investimentos
Contabilizei, Series B, Kaszek Ventures
Contabilizei, Series B, e.Bricks Ventures
Contabilizei, Series B, Quona Capital
albo, Series A, Mountain Nazca
albo, Series A, Omidyar Network
B2Link, Venture - Series Unknown, Angel Ventures
Arcus, Series A, IGNIA
Citysense Co., Seed, Angel Ventures
Liftit, Series A, Monashees
Liftit, Series A, Mercado Libre Fund
Gesto Saúde e Tecnologia, Series B, Redpoint eventures
Gesto Saúde e Tecnologia, Series B, DGF Investimentos
BEWE (formerly miora), Venture - Series Unknown, Mountain Nazca
BEWE (formerly miora), Venture - Series Unknown, DILA Capital
Lentesplus, Series C, IGNIA
QuintoAndar, Series C, Kaszek Ventures
QuintoAndar, Series C, Investo
EmCasa, Series A, Monashees
MOMENTUS, Seed, Mountain Nazca
UnDosTres, Series A, IGNIA
Takeoff Tech, Series B, IGNIA
Bom Pra Crédito, Series A, Astella Investimentos
Loggi, Series D, Kaszek Ventures
Trendier, Series B, IGNIA
Base Operations, Seed, Magma Partners
Dvdendo, Series A, DILA Capital
Justto, Series A, Inseed Investimentos
BizCapital, Series A, Monashees
BizCapital, Series A, Quona Capital
Omiexperience, Series A, Astella Investimentos
Yellow, Series A, Monashees
Ambar Technologies, Series A, e.Bricks Ventures
Sellbie, Series A, Inseed Investimentos
Kinedu, Series A, IGNIA
Kinedu, Series A, DILA Capital
Kinedu, Series A, Promotora Social México
MineSense Technologies, Series D, Aurus
OmniBnk, Seed, Magma Partners
Birdie, Pre-Seed, DGF Investimentos
Grin Scooters, Seed, Monashees
Grin Scooters, Seed, Investo
FLUVIP, Series A, Velum Ventures
OneGrid, Series A, Inseed Investimentos
Rebus Technology, Seed, Magma Partners
REBEL, Series A, Monashees
Kavak, Funding Round, Kaszek Ventures
Cinnecta, Series A, Inseed Investimentos
Arquivei, Series A, e.Bricks Ventures
Grin Scooters, Seed, Monashees
SpecLab, Venture - Series Unknown, SP Ventures
Konfio, Series C, Kaszek Ventures
Konfio, Series C, Investo
Konfio, Series C, Quona Capital
Flapper Technologies, Seed, Confrapar
SeguroSimple.com, Venture - Series Unknown, Angel Ventures
Volanty, Series A, Monashees
Rapyd, Series B, IGNIA
Frubana, Seed, Monashees
PaggCerto, Seed, Bozano Investimentos
SpumeNews, Seed, Bozano Investimentos
Yellow, Seed, Monashees
Capitalizarme, Venture - Series Unknown, Aurus
CryptoMKT, Seed, Magma Partners
Credijusto, Series B, Kaszek Ventures
Credijusto, Series B, Investo
Credijusto, Series B, IGNIA
Hash Lab, Series A, Kaszek Ventures
BluePex, Series A, Inseed Investimentos
Intergado, Series A, Inseed Investimentos
back4app, Seed, Monashees
Neon, Series A, Monashees
Neon, Series A, Omidyar Network
Neon, Series A, Quona Capital
Mandaê, Series B, Monashees
Mandaê, Series B, Mercado Libre Fund
Mandaê, Series B, Performa Investimentos
Trendier, Seed, IGNIA
Sr.Pago, Series B, IGNIA
Yller, Seed, Bozano Investimentos
Convenia, Venture - Series Unknown, Bozano Investimentos
Hands Mobile Advertising, Venture - Series Unknown, Confrapar
Magnetis, Series A, Monashees
Magnetis, Series A, Redpoint eventures
Reclame Aqui, Series A, DGF Investimentos
Editora Sanar, Series A, e.Bricks Ventures
Editora Sanar, Series A, Vox Capital
Olist, Series B, Redpoint eventures
Yellow, Seed, Monashees
Tienda Pago, Series A, Kaszek Ventures
Tienda Pago, Series A, Investo
Virket, Seed, IGNIA
Rede Oba Hortifruti, Private Equity, Bozano Investimentos
Altave, Venture - Series Unknown, Bozano Investimentos
Pipefy, Series A, Redpoint eventures
Smartbreeder, Series A, Inseed Investimentos
Vérios, Series A, e.Bricks Ventures
Idwall, Series A, Monashees
Workep, Seed, Magma Partners
Ben & Frank, Seed, DILA Capital
Urbvan, Convertible Note, DILA Capital
Lentesplus, Series C, IGNIA
Escale, Series B, Kaszek Ventures
Escale, Series B, Redpoint eventures
Playmove, Series A, Inseed Investimentos
Rappi, Series C, Redpoint eventures
Zazcar, Venture - Series Unknown, Inseed Investimentos
Runa HR, Seed, Investo
The Podcast App, Seed, Magma Partners
Siteware, Seed, Bozano Investimentos
EZ Commerce, Seed, Bozano Investimentos
LOFT BR, Series A, Monashees
Hospital Vera Cruz, Private Equity, Bozano Investimentos
Caelum, Venture - Series Unknown, Bozano Investimentos
123Seguro, Seed, Mercado Libre Fund
123Seguro, Seed, Alaya Capital
Digital House, Series B, Kaszek Ventures
Digital House, Series B, Omidyar Network
Creditas, Series C, Kaszek Ventures
Creditas, Series C, Investo
Creditas, Series C, Quona Capital
1DOC3, Seed, Mountain Nazca
The Not Company, Series A, Kaszek Ventures
Ingresse, Series B, Confrapar
Kinedu, Convertible Note, DILA Capital
Kinedu, Convertible Note, Promotora Social México
DogHero, Series B, Monashees
DogHero, Series B, Kaszek Ventures
DogHero, Series B, IGNIA
Ingresse, Private Equity, Mercado Libre Fund
uAvionix, Series B, Redpoint eventures
TROCAFONE, Venture - Series Unknown, Mercado Libre Fund
Arcus, Series A, IGNIA
Docket, Series A, Kaszek Ventures
Oxis Energy, Series E, Confrapar
VISOR ADL, Seed, ALLVP
VISOR ADL, Seed, IGNIA
Vindi, Series A, Bozano Investimentos
Zoco, Convertible Note, Mercado Libre Fund
Solugen, Seed, Investo
Abra, Series B, IGNIA
EchoPixel, Series A, Aurus
ESCALA EDUCACION, Seed, Mountain Nazca
Konfio, Series B, Kaszek Ventures
Konfio, Series B, Investo
Konfio, Series B, Quona Capital
Altave, Series A, Confrapar
Nerus, Seed, Bozano Investimentos
Chipus Microelectronics, Seed, Bozano Investimentos
BuscaLibre, Convertible Note, Mercado Libre Fund
Knewin, Series A, Inseed Investimentos
REBEL, Seed, Monashees
Liv Up, Series A, Kaszek Ventures
PleIQ Smart Toys, Seed, Magma Partners
Bind ERP, Series A, IGNIA
Finnovista, Venture - Series Unknown, IGNIA
Neoway, Series C, Monashees
Vindi, Series A, Criatec 2
Public Goods, Seed, Investo
SVATech, Series A, Inseed Investimentos
Decision6, Series A, Inseed Investimentos
DeviceLab, Series A, Inseed Investimentos
Camino Financial, Convertible Note, DILA Capital
Underdog, Seed, IGNIA
bxblue, Seed, Investo
Disclosures.io, Seed, Investo
Apli, Seed, ALLVP
Apli, Seed, IGNIA
AlephCRM, Convertible Note, Mercado Libre Fund
Bluesmart, Product Crowdfunding, Monashees
S4, Series A, e.Bricks Ventures
Lentesplus, Series B, IGNIA
Méliuz, Series B, Monashees
FounderList, Seed, Magma Partners
Afluenta, Series B, IGNIA
Afluenta, Series B, Elevar Equity
WEEL, Series A, Monashees
Skyways, Seed, Investo
Rocket.La, Series A, Angel Ventures
Rocket.La, Series A, IGNIA
In Forma Software, Seed, Bozano Investimentos
Compass, Seed, Bozano Investimentos
Kiwi Campus, Seed, Investo
Tienda Nube, Series B, Kaszek Ventures
Tienda Nube, Series B, IGNIA
Tienda Nube, Series B, Elevar Equity
Intellibrand, Venture - Series Unknown, DGF Investimentos
Neoway, Series B, Monashees
Payit, Seed, Investo
Bom Pra Crédito, Seed, SP Ventures
Bom Pra Crédito, Seed, Astella Investimentos
Promip, Venture - Series Unknown, SP Ventures
