Investors,Empresa,Ftype
Bozano Investimentos,Bom Consórcio,Seed
Kaszek Ventures,Escale,Series C
Redpoint eventures,Escale,Series C
Inseed Investimentos,Carenet Longevity,Series A
Kaszek Ventures,The Not Company,Series A
IGNIA,Fondeadora,Seed
Mountain Nazca,Destácame,Series A
Magma Partners,Nuweba,Seed
IGNIA,Rapyd,Series B
DGF Investimentos,Adianta,Venture - Series Unknown
Kaszek Ventures,Agilis,Series A
DILA Capital,Crehana,Series A
Mountain Nazca,Crehana,Series A
Monashees,WEEL,Series B
Inseed Investimentos,VarejOnline,Series A
e.Bricks Ventures,Contabilizei,Series B
Kaszek Ventures,Contabilizei,Series B
Quona Capital,Contabilizei,Series B
Mountain Nazca,albo,Series A
Omidyar Network,albo,Series A
Angel Ventures,B2Link,Venture - Series Unknown
IGNIA,Arcus,Series A
Angel Ventures,Citysense Co.,Seed
Mercado Libre Fund,Liftit,Series A
Monashees,Liftit,Series A
DGF Investimentos,Gesto Saúde e Tecnologia,Series B
Redpoint eventures,Gesto Saúde e Tecnologia,Series B
DILA Capital,BEWE (formerly miora),Venture - Series Unknown
Mountain Nazca,BEWE (formerly miora),Venture - Series Unknown
IGNIA,Lentesplus,Series C
Kaszek Ventures,QuintoAndar,Series C
Monashees,EmCasa,Series A
Mountain Nazca,MOMENTUS,Seed
IGNIA,UnDosTres,Series A
IGNIA,Takeoff Tech,Series B
Astella Investimentos,Bom Pra Crédito,Series A
Kaszek Ventures,Loggi,Series D
IGNIA,Trendier,Series B
Magma Partners,Base Operations,Seed
DILA Capital,Dvdendo,Series A
Inseed Investimentos,Justto,Series A
Monashees,BizCapital,Series A
Quona Capital,BizCapital,Series A
Astella Investimentos,Omiexperience,Series A
Monashees,Yellow,Series A
e.Bricks Ventures,Ambar Technologies,Series A
Inseed Investimentos,Sellbie,Series A
DILA Capital,Kinedu,Series A
IGNIA,Kinedu,Series A
Promotora Social México,Kinedu,Series A
Aurus,MineSense Technologies,Series D
Magma Partners,OmniBnk,Seed
DGF Investimentos,Birdie,Pre-Seed
Investo,Grin Scooters,Seed
Monashees,Grin Scooters,Seed
Velum Ventures,FLUVIP,Series A
Inseed Investimentos,OneGrid,Series A
Magma Partners,Rebus Technology,Seed
Monashees,REBEL,Series A
Kaszek Ventures,Kavak,Funding Round
Inseed Investimentos,Cinnecta,Series A
e.Bricks Ventures,Arquivei,Series A
Monashees,Grin Scooters,Seed
SP Ventures,SpecLab,Venture - Series Unknown
Kaszek Ventures,Konfio,Series C
Quona Capital,Konfio,Series C
Confrapar,Flapper Technologies,Seed
Angel Ventures,SeguroSimple.com,Venture - Series Unknown
Monashees,Volanty,Series A
IGNIA,Rapyd,Series B
Monashees,Frubana,Seed
Bozano Investimentos,PaggCerto,Seed
Bozano Investimentos,SpumeNews,Seed
Monashees,Yellow,Seed
Aurus,Capitalizarme,Venture - Series Unknown
Magma Partners,CryptoMKT,Seed
IGNIA,Credijusto,Series B
Kaszek Ventures,Credijusto,Series B
Kaszek Ventures,Hash Lab,Series A
Inseed Investimentos,BluePex,Series A
Inseed Investimentos,Intergado,Series A
Monashees,back4app,Seed
Monashees,Neon,Series A
Omidyar Network,Neon,Series A
Quona Capital,Neon,Series A
Mercado Libre Fund,Mandaê,Series B
Monashees,Mandaê,Series B
Performa Investimentos,Mandaê,Series B
IGNIA,Trendier,Seed
IGNIA,Sr.Pago,Series B
Bozano Investimentos,Yller,Seed
Bozano Investimentos,Convenia,Venture - Series Unknown
Confrapar,Hands Mobile Advertising,Venture - Series Unknown
Monashees,Magnetis,Series A
Redpoint eventures,Magnetis,Series A
DGF Investimentos,Reclame Aqui,Series A
e.Bricks Ventures,Editora Sanar,Series A
Vox Capital,Editora Sanar,Series A
Redpoint eventures,Olist,Series B
Monashees,Yellow,Seed
Kaszek Ventures,Tienda Pago,Series A
IGNIA,Virket,Seed
Bozano Investimentos,Rede Oba Hortifruti,Private Equity
Bozano Investimentos,Altave,Venture - Series Unknown
Redpoint eventures,Pipefy,Series A
Inseed Investimentos,Smartbreeder,Series A
e.Bricks Ventures,Vérios,Series A
Monashees,Idwall,Series A
Magma Partners,Workep,Seed
DILA Capital,Ben & Frank,Seed
DILA Capital,Urbvan,Convertible Note
IGNIA,Lentesplus,Series C
Kaszek Ventures,Escale,Series B
Redpoint eventures,Escale,Series B
Inseed Investimentos,Playmove,Series A
Redpoint eventures,Rappi,Series C
Inseed Investimentos,Zazcar,Venture - Series Unknown
Investo,Runa HR,Seed
Magma Partners,The Podcast App,Seed
Bozano Investimentos,Siteware,Seed
Bozano Investimentos,EZ Commerce,Seed
Monashees,LOFT BR,Series A
Bozano Investimentos,Hospital Vera Cruz,Private Equity
Bozano Investimentos,Caelum,Venture - Series Unknown
Alaya Capital Partners,123Seguro,Seed
